TIME,BATT,PM_1,PM_25,PM_10
ISO 8601,%,ug/m3,ug/m3,ug/m3
Time,Battery,PM 1.0,PM 2.5,PM 10.0
2026-05-08T06:18:54Z,81,12,19,21
2026-05-08T06:20:54Z,81,10,16,18
2026-05-08T06:22:54Z,81,9,14,23
2026-05-08T06:24:54Z,81,10,16,17
2026-05-08T06:26:54Z,81,10,18,20
2026-05-08T06:28:54Z,81,10,18,18
2026-05-08T06:30:54Z,81,10,15,16
2026-05-08T06:32:54Z,81,10,20,28
2026-05-08T06:34:54Z,81,8,15,21
2026-05-08T06:36:54Z,81,9,14,16
2026-05-08T06:38:54Z,81,12,16,20
2026-05-08T06:40:54Z,81,12,18,19
2026-05-08T06:42:54Z,81,10,16,18
2026-05-08T06:44:54Z,81,9,16,18
2026-05-08T06:46:54Z,81,9,16,16
2026-05-08T06:48:54Z,81,10,16,17
2026-05-08T06:50:54Z,81,9,16,18
2026-05-08T06:52:54Z,81,10,18,21
2026-05-08T06:54:54Z,81,9,14,16
2026-05-08T06:56:54Z,81,8,15,17
2026-05-08T06:58:54Z,81,9,14,15
2026-05-08T07:00:54Z,81,10,19,26
2026-05-08T07:02:54Z,81,11,17,19
2026-05-08T07:04:54Z,81,11,15,16
2026-05-08T07:06:54Z,81,9,14,15
2026-05-08T07:08:54Z,81,8,17,22
2026-05-08T07:10:54Z,81,11,19,21
2026-05-08T07:12:54Z,81,7,17,19
2026-05-08T07:14:54Z,81,11,19,23
2026-05-08T07:16:54Z,81,11,19,21
2026-05-08T07:18:54Z,81,9,14,30
2026-05-08T07:20:54Z,81,10,17,21
2026-05-08T07:22:54Z,81,10,19,20
2026-05-08T07:24:54Z,80,12,21,23
2026-05-08T07:26:54Z,80,11,20,24
2026-05-08T07:28:54Z,81,9,17,20
2026-05-08T07:30:54Z,80,14,25,27
2026-05-08T07:32:54Z,80,12,21,24
2026-05-08T07:34:54Z,80,9,17,21
2026-05-08T07:36:54Z,80,12,19,21
2026-05-08T07:38:54Z,80,10,17,21
2026-05-08T07:40:54Z,80,11,18,21
2026-05-08T07:42:54Z,80,9,16,19
2026-05-08T07:44:54Z,80,11,17,19
2026-05-08T07:46:54Z,80,11,18,20
2026-05-08T07:48:54Z,80,12,21,24
2026-05-08T07:50:54Z,80,10,19,21
2026-05-08T07:52:54Z,80,13,23,32
2026-05-08T07:54:54Z,80,10,18,20
2026-05-08T07:56:54Z,80,11,18,20
2026-05-08T07:58:54Z,80,10,17,19
2026-05-08T08:00:54Z,80,12,19,21
2026-05-08T08:02:54Z,80,9,17,18
2026-05-08T08:04:54Z,80,10,17,19
2026-05-08T08:06:54Z,80,10,17,25
2026-05-08T08:08:54Z,80,11,20,21
2026-05-08T08:10:54Z,80,11,21,23
2026-05-08T08:12:54Z,80,11,18,21
2026-05-08T08:14:54Z,80,12,20,21
2026-05-08T08:16:54Z,80,11,20,21
2026-05-08T08:18:54Z,80,14,19,20
2026-05-08T08:20:54Z,80,11,22,23
2026-05-08T08:22:54Z,80,10,19,19
2026-05-08T08:24:54Z,80,14,20,22
2026-05-08T08:26:54Z,80,13,21,23
2026-05-08T08:28:54Z,80,11,20,23
2026-05-08T08:30:54Z,80,12,18,19
2026-05-08T08:32:54Z,80,11,19,24
2026-05-08T08:34:54Z,80,13,21,21
2026-05-08T08:36:54Z,79,11,21,23
2026-05-08T08:38:54Z,79,13,20,23
2026-05-08T08:40:54Z,79,14,23,27
2026-05-08T08:42:54Z,79,14,21,22
2026-05-08T08:44:54Z,79,11,16,25
2026-05-08T08:46:54Z,79,12,21,24
2026-05-08T08:48:54Z,79,13,21,22
2026-05-08T08:50:54Z,79,13,19,21
2026-05-08T08:52:54Z,79,11,21,25
2026-05-08T08:54:54Z,79,13,21,23
2026-05-08T08:56:54Z,79,14,22,24
2026-05-08T08:58:54Z,79,13,19,22
2026-05-08T09:00:54Z,79,14,21,25
2026-05-08T09:02:54Z,79,16,25,27
2026-05-08T09:04:54Z,79,13,19,20
2026-05-08T09:06:54Z,79,15,24,28
2026-05-08T09:08:54Z,79,14,21,31
2026-05-08T09:10:54Z,79,15,23,24
