TIME,BATT,PM_1,PM_25,PM_10
ISO 8601,%,ug/m3,ug/m3,ug/m3
Time,Battery,PM 1.0,PM 2.5,PM 10.0
2026-05-07T13:02:54Z,93,10,17,24
2026-05-07T13:04:54Z,93,14,19,21
2026-05-07T13:06:54Z,93,12,19,23
2026-05-07T13:08:54Z,93,11,19,26
2026-05-07T13:10:54Z,93,14,20,23
2026-05-07T13:12:54Z,93,9,20,22
2026-05-07T13:14:54Z,93,14,20,23
2026-05-07T13:16:54Z,93,12,21,22
2026-05-07T13:18:54Z,93,12,21,22
2026-05-07T13:20:54Z,93,15,23,23
2026-05-07T13:22:54Z,93,14,22,25
2026-05-07T13:24:54Z,93,11,20,22
2026-05-07T13:26:54Z,93,13,19,25
2026-05-07T13:28:54Z,93,12,18,21
2026-05-07T13:30:54Z,93,14,20,21
2026-05-07T13:32:54Z,93,11,17,18
2026-05-07T13:34:54Z,93,12,16,16
2026-05-07T13:36:54Z,93,10,17,19
2026-05-07T13:38:54Z,93,12,17,17
2026-05-07T13:40:54Z,93,12,20,21
2026-05-07T13:42:54Z,93,11,17,17
2026-05-07T13:44:54Z,93,13,21,22
2026-05-07T13:46:54Z,93,12,15,16
2026-05-07T13:48:54Z,93,12,20,22
2026-05-07T13:50:54Z,93,12,18,18
2026-05-07T13:52:54Z,93,11,18,22
2026-05-07T13:54:54Z,93,13,22,24
2026-05-07T13:56:54Z,93,10,16,17
2026-05-07T13:58:54Z,93,9,14,15
2026-05-07T14:00:54Z,93,11,17,23
2026-05-07T14:02:54Z,93,11,18,20
2026-05-07T14:04:54Z,93,11,16,17
2026-05-07T14:06:54Z,93,14,20,21
2026-05-07T14:08:54Z,93,11,16,16
2026-05-07T14:10:54Z,93,11,17,18
2026-05-07T14:12:54Z,93,12,20,21
2026-05-07T14:14:54Z,93,13,17,19
2026-05-07T14:16:54Z,93,11,17,18
2026-05-07T14:18:54Z,93,10,17,19
2026-05-07T14:20:54Z,93,14,21,24
2026-05-07T14:22:54Z,93,11,17,18
2026-05-07T14:24:54Z,93,12,18,26
2026-05-07T14:26:54Z,93,19,27,29
2026-05-07T14:28:54Z,93,15,22,22
2026-05-07T14:30:54Z,93,17,24,28
2026-05-07T14:32:54Z,93,17,25,26
2026-05-07T14:34:54Z,93,17,26,28
2026-05-07T14:36:54Z,93,16,23,24
2026-05-07T14:38:54Z,93,16,24,27
2026-05-07T14:40:54Z,93,19,27,30
2026-05-07T14:42:54Z,93,17,28,31
2026-05-07T14:44:54Z,93,16,26,29
2026-05-07T14:46:54Z,93,18,28,32
2026-05-07T14:48:54Z,92,22,34,37
2026-05-07T14:50:54Z,92,16,25,27
2026-05-07T14:52:54Z,92,16,25,32
2026-05-07T14:54:54Z,92,21,32,34
2026-05-07T14:56:54Z,92,20,31,34
2026-05-07T14:58:54Z,92,20,28,32
2026-05-07T15:00:54Z,92,18,26,29
2026-05-07T15:02:54Z,92,18,33,35
2026-05-07T15:04:54Z,92,19,28,33
2026-05-07T15:06:54Z,92,18,23,23
2026-05-07T15:08:54Z,92,25,30,32
2026-05-07T15:10:54Z,92,21,30,32
2026-05-07T15:12:54Z,92,13,20,22
2026-05-07T15:14:54Z,92,18,26,27
2026-05-07T15:16:54Z,92,17,28,28
2026-05-07T15:18:54Z,92,20,25,27
2026-05-07T15:20:54Z,92,19,26,34
2026-05-07T15:22:54Z,92,17,26,28
2026-05-07T15:24:54Z,92,19,26,28
2026-05-07T15:26:54Z,92,18,27,28
2026-05-07T15:28:54Z,92,16,24,26
2026-05-07T15:30:54Z,92,22,26,27
2026-05-07T15:32:54Z,92,16,26,27
2026-05-07T15:34:54Z,92,15,21,31
2026-05-07T15:36:54Z,92,16,21,22
2026-05-07T15:38:54Z,92,13,21,23
2026-05-07T15:40:54Z,92,14,21,22
2026-05-07T15:42:54Z,92,14,20,21
2026-05-07T15:44:54Z,92,14,20,21
2026-05-07T15:46:54Z,92,12,23,27
2026-05-07T15:48:54Z,92,13,21,23
2026-05-07T15:50:54Z,92,15,26,27
2026-05-07T15:52:54Z,92,14,26,26
2026-05-07T15:54:54Z,92,14,19,21
2026-05-07T15:56:54Z,92,13,19,21
2026-05-07T15:58:54Z,92,15,20,20
2026-05-07T16:00:54Z,92,12,19,21
2026-05-07T16:02:54Z,92,15,20,29
2026-05-07T16:04:54Z,92,14,21,23
2026-05-07T16:06:54Z,92,14,22,23
2026-05-07T16:08:54Z,92,14,20,21
2026-05-07T16:10:54Z,92,13,20,20
2026-05-07T16:12:54Z,91,15,20,21
2026-05-07T16:14:54Z,91,14,22,22
2026-05-07T16:16:54Z,91,13,20,35
2026-05-07T16:18:54Z,92,13,22,23
2026-05-07T16:20:54Z,92,17,24,25
2026-05-07T16:22:54Z,91,14,24,26
2026-05-07T16:24:54Z,91,11,16,18
2026-05-07T16:26:54Z,91,16,22,23
2026-05-07T16:28:54Z,91,10,16,19
2026-05-07T16:30:54Z,91,13,22,24
2026-05-07T16:32:54Z,91,14,20,22
2026-05-07T16:34:54Z,91,13,20,23
2026-05-07T16:36:54Z,91,15,22,23
2026-05-07T16:38:54Z,91,15,22,24
2026-05-07T16:40:54Z,91,14,22,23
2026-05-07T16:42:54Z,91,12,20,26
2026-05-07T16:44:54Z,91,17,24,25
2026-05-07T16:46:54Z,91,15,21,23
2026-05-07T16:48:54Z,91,17,24,26
2026-05-07T16:50:54Z,91,12,17,18
2026-05-07T16:52:54Z,91,11,20,26
2026-05-07T16:54:54Z,91,13,21,22
2026-05-07T16:56:54Z,91,13,24,32
2026-05-07T16:58:54Z,91,14,20,20
2026-05-07T17:00:54Z,91,15,19,22
2026-05-07T17:02:54Z,91,11,22,24
2026-05-07T17:04:54Z,91,12,17,18
2026-05-07T17:06:54Z,91,12,24,24
2026-05-07T17:08:54Z,91,15,20,23
2026-05-07T17:10:54Z,91,12,22,24
2026-05-07T17:12:54Z,91,13,22,24
2026-05-07T17:14:54Z,91,12,20,21
2026-05-07T17:16:54Z,91,12,17,22
2026-05-07T17:18:54Z,91,17,26,27
2026-05-07T17:20:54Z,91,11,21,25
2026-05-07T17:22:54Z,91,16,26,28
2026-05-07T17:24:54Z,91,12,22,22
2026-05-07T17:26:54Z,91,16,25,25
2026-05-07T17:28:54Z,91,13,31,32
2026-05-07T17:30:54Z,91,15,26,29
2026-05-07T17:32:54Z,90,15,23,23
2026-05-07T17:34:54Z,90,17,23,25
2026-05-07T17:36:54Z,90,15,23,26
2026-05-07T17:38:54Z,90,16,22,26
2026-05-07T17:40:54Z,90,14,20,20
2026-05-07T17:42:54Z,90,12,20,20
2026-05-07T17:44:54Z,90,13,18,20
2026-05-07T17:46:54Z,90,16,25,27
2026-05-07T17:48:54Z,90,13,20,22
2026-05-07T17:50:54Z,90,17,23,24
2026-05-07T17:52:54Z,90,13,24,29
2026-05-07T17:54:54Z,90,16,22,24
2026-05-07T17:56:54Z,90,11,18,21
2026-05-07T17:58:54Z,90,13,26,28
2026-05-07T18:00:54Z,90,13,23,25
2026-05-07T18:02:54Z,90,12,21,26
2026-05-07T18:04:54Z,90,13,21,23
2026-05-07T18:06:54Z,90,13,20,22
2026-05-07T18:08:54Z,90,12,19,19
2026-05-07T18:10:54Z,90,13,23,27
2026-05-07T18:12:54Z,90,11,17,20
2026-05-07T18:14:54Z,90,11,19,20
2026-05-07T18:16:54Z,90,11,15,23
2026-05-07T18:18:54Z,90,10,16,17
2026-05-07T18:20:54Z,90,14,25,27
2026-05-07T18:22:54Z,90,12,19,28
2026-05-07T18:24:54Z,90,13,20,20
2026-05-07T18:26:54Z,90,10,18,31
2026-05-07T18:28:54Z,90,11,20,25
2026-05-07T18:30:54Z,90,12,21,23
2026-05-07T18:32:54Z,90,9,18,19
2026-05-07T18:34:54Z,90,10,18,18
2026-05-07T18:36:54Z,90,9,16,25
2026-05-07T18:38:54Z,90,12,22,22
2026-05-07T18:40:54Z,90,10,15,17
2026-05-07T18:42:54Z,90,10,20,22
2026-05-07T18:44:54Z,90,8,14,14
2026-05-07T18:46:54Z,90,11,15,18
2026-05-07T18:48:54Z,90,8,17,26
2026-05-07T18:50:54Z,90,10,18,19
2026-05-07T18:52:54Z,90,10,17,19
2026-05-07T18:54:54Z,90,9,18,18
2026-05-07T18:56:54Z,90,10,20,21
2026-05-07T18:58:54Z,90,10,18,18
2026-05-07T19:00:54Z,90,9,18,18
2026-05-07T19:02:54Z,90,11,19,20
2026-05-07T19:04:54Z,90,13,18,20
2026-05-07T19:06:54Z,90,9,18,19
2026-05-07T19:08:54Z,90,9,16,16
2026-05-07T19:10:54Z,90,10,18,21
2026-05-07T19:12:54Z,90,10,17,18
2026-05-07T19:14:54Z,90,9,18,18
2026-05-07T19:16:54Z,90,10,20,20
2026-05-07T19:18:54Z,90,10,17,22
2026-05-07T19:20:54Z,90,12,15,18
2026-05-07T19:22:54Z,89,10,16,17
2026-05-07T19:24:54Z,90,12,18,19
2026-05-07T19:26:54Z,89,13,18,20
2026-05-07T19:28:54Z,89,10,15,17
2026-05-07T19:30:54Z,89,10,17,18
2026-05-07T19:32:54Z,90,11,16,22
2026-05-07T19:34:54Z,89,12,19,21
2026-05-07T19:36:54Z,89,13,19,21
2026-05-07T19:38:54Z,89,10,20,24
2026-05-07T19:40:54Z,89,12,18,19
2026-05-07T19:42:54Z,89,13,21,22
2026-05-07T19:44:54Z,89,12,19,21
2026-05-07T19:46:54Z,89,12,17,18
2026-05-07T19:48:54Z,89,11,16,23
2026-05-07T19:50:54Z,89,12,17,19
2026-05-07T19:52:54Z,89,13,21,23
2026-05-07T19:54:54Z,89,12,23,25
2026-05-07T19:56:54Z,89,12,19,19
2026-05-07T19:58:54Z,89,12,19,20
