TIME,BATT,PM_1,PM_25,PM_10,PN_03,PN_05,PN_1,PN_25,PN_5,PN_10
ISO 8601,%,ug/m3,ug/m3,ug/m3,#/0.1l,#/0.1l,#/0.1l,#/0.1l,#/0.1l,#/0.1l
Time,Battery,PM 1.0,PM 2.5,PM 10.0,PN 0.3,PN 0.5,PN 1.0,PN 2.5,PN 5.0,PN 10.0
2026-05-21T06:31:14Z,93,7,13,15,659,455,112,0,0,0
2026-05-21T06:33:14Z,93,8,15,17,640,459,110,0,0,0
2026-05-21T06:35:14Z,93,3,10,13,529,360,89,0,0,0
2026-05-21T06:37:14Z,93,7,14,20,665,523,94,4,0,0
2026-05-21T06:39:14Z,93,6,15,16,691,464,101,0,0,0
2026-05-21T06:41:14Z,93,4,9,19,535,398,84,3,0,0
2026-05-21T06:43:14Z,93,6,12,14,615,459,96,0,0,0
2026-05-21T06:45:14Z,93,6,13,15,542,391,89,0,0,0
2026-05-21T06:47:14Z,93,4,10,17,596,395,79,0,0,0
2026-05-21T06:49:14Z,93,7,15,18,653,467,124,0,0,0
2026-05-21T06:51:14Z,93,7,12,16,687,475,87,0,0,0
2026-05-21T06:53:14Z,93,7,15,19,681,484,136,0,0,0
2026-05-21T06:55:14Z,93,7,14,18,616,485,113,0,0,0
2026-05-21T06:57:14Z,93,6,13,15,700,446,72,0,0,0
2026-05-21T06:59:14Z,93,7,12,13,676,465,99,0,0,0
2026-05-21T07:01:14Z,93,8,14,22,707,474,106,0,0,0
2026-05-21T07:03:14Z,93,8,16,18,742,532,97,0,0,0
2026-05-21T07:05:14Z,93,9,13,16,738,522,92,0,0,0
2026-05-21T07:07:14Z,93,7,14,16,746,509,124,0,0,0
2026-05-21T07:09:14Z,93,7,16,19,680,498,109,0,0,0
2026-05-21T07:11:14Z,93,11,16,17,826,548,90,0,0,0
2026-05-21T07:13:14Z,93,10,23,26,757,617,195,4,0,0
2026-05-21T07:15:14Z,93,11,22,25,955,688,128,13,0,0
2026-05-21T07:17:14Z,93,9,14,20,780,576,100,3,0,0
2026-05-21T07:19:14Z,93,8,17,20,809,554,104,0,0,0
2026-05-21T07:21:14Z,93,10,20,23,821,624,142,11,0,0
2026-05-21T07:23:14Z,93,13,22,22,980,769,129,0,0,0
2026-05-21T07:25:14Z,93,11,19,20,834,636,153,0,0,0
2026-05-21T07:27:14Z,93,10,19,24,904,631,140,9,0,0
2026-05-21T07:29:14Z,93,14,21,22,1087,806,153,0,0,0
2026-05-21T07:31:14Z,92,13,25,26,1058,818,191,2,0,0
2026-05-21T07:33:14Z,92,13,19,22,921,681,128,0,0,0
2026-05-21T07:35:14Z,93,12,25,27,959,751,201,2,0,0
2026-05-21T07:37:14Z,92,14,23,27,1074,778,179,0,0,0
2026-05-21T07:39:14Z,92,12,24,25,986,738,191,5,0,0
2026-05-21T07:41:14Z,92,12,22,24,977,764,153,0,0,0
2026-05-21T07:43:14Z,92,14,22,29,1063,812,126,9,0,0
2026-05-21T07:45:14Z,92,11,19,21,962,713,147,0,0,0
2026-05-21T07:47:14Z,92,13,23,26,916,773,140,0,0,0
2026-05-21T07:49:14Z,92,11,20,22,964,756,141,0,0,0
2026-05-21T07:51:14Z,92,12,19,22,988,705,138,0,0,0
2026-05-21T07:53:14Z,92,12,17,19,977,707,119,0,0,0
2026-05-21T07:55:14Z,92,11,20,20,936,696,169,0,0,0
2026-05-21T07:57:14Z,92,13,22,31,1027,778,181,0,0,0
2026-05-21T07:59:14Z,92,12,19,24,964,703,156,0,0,0
2026-05-21T08:01:14Z,92,12,21,24,1040,728,146,0,0,0
2026-05-21T08:03:14Z,92,13,20,25,1044,748,151,0,0,0
2026-05-21T08:05:14Z,92,12,20,23,943,716,133,0,0,0
2026-05-21T08:07:14Z,92,11,21,24,935,677,183,0,0,0
2026-05-21T08:09:14Z,92,15,25,27,1150,859,173,0,0,0
2026-05-21T08:11:14Z,92,13,22,22,1005,786,154,0,0,0
2026-05-21T08:13:14Z,92,12,22,25,1049,757,187,0,0,0
2026-05-21T08:15:14Z,92,15,26,29,1116,838,178,4,0,0
2026-05-21T08:17:14Z,92,13,19,21,980,716,148,0,0,0
2026-05-21T08:19:14Z,92,13,18,24,1008,686,166,0,0,0
2026-05-21T08:21:14Z,92,13,20,22,944,715,140,0,0,0
2026-05-21T08:23:14Z,92,12,19,23,980,683,155,0,0,0
2026-05-21T08:25:14Z,92,10,20,27,895,675,149,0,0,0
2026-05-21T08:27:14Z,92,14,23,32,955,770,195,1,0,0
2026-05-21T08:29:14Z,92,13,21,25,958,721,175,0,0,0
2026-05-21T08:31:14Z,92,13,23,27,1006,707,159,3,0,0
2026-05-21T08:33:14Z,92,14,25,26,1126,817,177,0,0,0
2026-05-21T08:35:14Z,92,14,25,26,1067,829,215,0,0,0
2026-05-21T08:37:14Z,92,15,22,23,1003,772,136,0,0,0
2026-05-21T08:39:14Z,92,14,24,24,1081,789,207,0,0,0
2026-05-21T08:41:14Z,92,13,21,21,967,745,161,0,0,0
2026-05-21T08:43:14Z,92,13,21,29,967,709,174,0,0,0
2026-05-21T08:45:14Z,92,12,19,22,926,711,146,2,0,0
2026-05-21T08:47:14Z,92,14,22,24,1087,840,166,0,0,0
2026-05-21T08:49:14Z,92,14,22,25,1077,796,152,0,0,0
2026-05-21T08:51:14Z,92,15,23,25,1135,846,165,0,0,0
2026-05-21T08:53:14Z,92,12,19,21,946,696,149,0,0,0
2026-05-21T08:55:14Z,92,12,18,20,976,734,108,0,0,0
2026-05-21T08:57:14Z,92,14,19,29,1007,722,140,1,0,0
2026-05-21T08:59:14Z,92,14,21,23,1116,808,115,0,0,0
2026-05-21T09:01:14Z,92,13,22,25,1129,795,154,0,0,0
2026-05-21T09:03:14Z,92,13,19,20,1013,747,145,0,0,0
2026-05-21T09:05:14Z,91,14,22,22,1092,764,154,4,0,0
2026-05-21T09:07:14Z,91,14,22,23,1065,745,128,0,0,0
2026-05-21T09:09:14Z,91,15,24,27,1085,815,138,2,0,0
2026-05-21T09:11:14Z,91,12,21,24,1002,745,141,0,0,0
2026-05-21T09:13:14Z,91,13,23,25,1029,769,158,0,0,0
2026-05-21T09:15:14Z,91,14,24,28,1015,782,187,0,0,0
2026-05-21T09:17:14Z,91,12,23,24,1002,753,153,2,0,0
2026-05-21T09:19:14Z,91,10,20,24,910,727,139,1,0,0
2026-05-21T09:21:14Z,91,12,17,20,848,621,135,0,0,0
2026-05-21T09:23:14Z,91,12,17,20,944,675,128,0,0,0
2026-05-21T09:25:14Z,91,13,22,28,1002,747,149,0,0,0
2026-05-21T09:27:14Z,91,13,17,20,965,691,124,0,0,0
2026-05-21T09:29:14Z,91,12,23,28,1104,843,179,2,0,0
2026-05-21T09:31:14Z,91,12,20,23,993,728,133,0,0,0
2026-05-21T09:33:14Z,91,15,24,26,1046,809,144,2,0,0
2026-05-21T09:35:14Z,91,11,19,21,940,695,161,0,0,0
2026-05-21T09:37:14Z,91,11,16,19,883,631,116,0,0,0
2026-05-21T09:39:14Z,91,12,17,21,935,688,107,0,0,0
2026-05-21T09:41:14Z,91,12,18,21,1016,694,153,0,0,0
2026-05-21T09:43:14Z,91,13,22,26,1056,760,186,0,0,0
2026-05-21T09:45:14Z,91,12,23,27,1022,712,122,0,0,0
2026-05-21T09:47:14Z,91,11,24,26,971,755,179,0,0,0
2026-05-21T09:49:14Z,91,13,18,24,864,672,127,0,0,0
2026-05-21T09:51:14Z,91,11,18,21,881,641,143,0,0,0
2026-05-21T09:53:14Z,91,8,14,19,726,567,106,0,0,0
2026-05-21T09:55:14Z,91,11,19,22,944,707,128,0,0,0
2026-05-21T09:57:14Z,91,10,16,18,781,579,101,0,0,0
2026-05-21T09:59:14Z,91,9,19,21,938,637,145,0,0,0
2026-05-21T10:01:14Z,91,12,18,20,861,682,116,0,0,0
2026-05-21T10:03:14Z,91,9,19,22,971,677,121,0,0,0
2026-05-21T10:05:14Z,91,10,19,22,853,619,148,0,0,0
2026-05-21T10:07:14Z,91,10,15,17,805,650,86,0,0,0
2026-05-21T10:09:14Z,91,9,17,21,867,618,127,0,0,0
2026-05-21T10:11:14Z,91,9,14,17,873,602,81,0,0,0
2026-05-21T10:13:14Z,91,9,19,25,823,621,150,3,0,0
2026-05-21T10:15:14Z,91,11,18,21,815,623,121,0,0,0
2026-05-21T10:17:14Z,91,9,17,20,844,645,117,0,0,0
2026-05-21T10:19:14Z,90,10,18,20,883,640,119,0,0,0
2026-05-21T10:21:14Z,91,11,20,21,951,667,114,1,0,0
2026-05-21T10:23:14Z,90,9,17,19,944,596,106,1,0,0
