recorded_at,battery,pm_1,pm_25,pm_10,pn_03,pn_05,pn_1,pn_25,pn_5,pn_10
2026-05-22T04:05:14Z,78,7,12,14,578,436,86,0,0,0
2026-05-22T04:07:14Z,78,5,11,15,541,425,85,0,0,0
2026-05-22T04:09:14Z,78,4,11,14,539,401,70,0,0,0
2026-05-22T04:11:14Z,78,3,8,10,522,333,64,0,0,0
2026-05-22T04:13:14Z,78,4,10,11,576,399,69,0,0,0
2026-05-22T04:15:14Z,78,3,13,17,530,344,101,0,0,0
2026-05-22T04:17:14Z,78,4,11,16,503,361,86,0,0,0
2026-05-22T04:19:14Z,78,3,8,8,513,310,54,0,0,0
2026-05-22T04:21:14Z,77,4,10,14,596,394,84,0,0,0
2026-05-22T04:23:14Z,77,3,9,12,552,371,75,0,0,0
2026-05-22T04:25:14Z,77,5,12,14,548,409,78,0,0,0
2026-05-22T04:27:14Z,77,6,13,17,697,455,117,2,0,0
2026-05-22T04:29:14Z,77,4,12,23,624,417,78,4,0,0
2026-05-22T04:31:14Z,77,4,10,10,474,301,76,0,0,0
2026-05-22T04:33:14Z,77,3,8,11,581,358,54,0,0,0
2026-05-22T04:35:14Z,77,4,9,10,572,376,69,0,0,0
2026-05-22T04:37:14Z,77,6,9,13,585,381,71,0,0,0
2026-05-22T04:39:14Z,77,5,11,12,576,429,68,0,0,0
2026-05-22T04:41:14Z,77,4,7,11,528,309,52,0,0,0
2026-05-22T04:43:14Z,77,4,8,10,504,345,58,0,0,0
2026-05-22T04:45:14Z,77,5,9,11,552,366,75,0,0,0
2026-05-22T04:47:14Z,77,4,11,13,620,404,87,0,0,0
2026-05-22T04:49:14Z,77,4,11,14,591,334,81,0,0,0
2026-05-22T04:51:14Z,77,5,12,16,555,381,85,0,0,0
2026-05-22T04:53:14Z,77,3,7,9,444,301,67,0,0,0
2026-05-22T04:55:14Z,77,5,10,14,585,405,89,0,0,0
2026-05-22T04:57:14Z,77,3,9,10,494,311,61,0,0,0
2026-05-22T04:59:14Z,77,4,13,15,582,375,97,0,0,0
2026-05-22T05:01:14Z,77,3,9,13,508,358,102,0,0,0
2026-05-22T05:03:14Z,77,4,8,8,537,337,58,0,0,0
2026-05-22T05:05:14Z,77,5,11,13,672,421,83,0,0,0
2026-05-22T05:07:14Z,77,3,7,11,493,297,51,0,0,0
2026-05-22T05:09:14Z,77,3,7,9,469,349,55,0,0,0
2026-05-22T05:11:14Z,77,2,8,11,513,312,59,0,0,0
2026-05-22T05:13:14Z,77,3,8,9,505,308,68,0,0,0
2026-05-22T05:15:14Z,77,3,12,13,508,350,79,0,0,0
2026-05-22T05:17:14Z,77,3,15,18,549,409,88,0,0,0
2026-05-22T05:19:14Z,77,5,12,14,593,387,78,0,0,0
2026-05-22T05:21:14Z,77,4,11,18,559,388,127,0,0,0
2026-05-22T05:23:14Z,77,2,9,10,476,311,77,0,0,0
2026-05-22T05:25:14Z,77,4,10,10,518,389,76,0,0,0
2026-05-22T05:27:14Z,76,5,11,13,593,386,94,0,0,0
2026-05-22T05:29:14Z,76,4,8,10,505,332,58,0,0,0
2026-05-22T05:31:14Z,76,3,7,11,423,301,44,0,0,0
2026-05-22T05:33:14Z,76,4,8,11,527,352,49,0,0,0
2026-05-22T05:35:14Z,76,4,10,14,523,334,91,0,0,0
2026-05-22T05:37:14Z,76,4,9,11,514,317,51,0,0,0
2026-05-22T05:39:14Z,76,4,8,11,521,365,59,0,0,0
2026-05-22T05:41:14Z,76,3,9,11,539,341,50,0,0,0
2026-05-22T05:43:14Z,76,5,12,12,630,376,99,0,0,0
2026-05-22T05:45:14Z,76,3,10,14,433,327,91,0,0,0
2026-05-22T05:47:14Z,76,3,10,11,503,383,83,0,0,0
2026-05-22T05:49:14Z,76,5,11,14,492,360,98,4,0,0
2026-05-22T05:51:14Z,76,4,8,12,467,339,63,0,0,0
2026-05-22T05:53:14Z,76,4,12,12,637,411,105,0,0,0
2026-05-22T05:55:14Z,76,3,8,11,527,326,66,0,0,0
2026-05-22T05:57:14Z,76,5,12,14,545,370,95,0,0,0
2026-05-22T05:59:14Z,76,2,7,9,490,313,61,0,0,0
2026-05-22T06:01:14Z,76,2,11,13,532,346,79,1,0,0
2026-05-22T06:03:14Z,76,0,8,8,443,277,39,0,0,0
2026-05-22T06:05:14Z,76,2,7,8,418,269,60,0,0,0
2026-05-22T06:07:14Z,76,3,12,14,558,415,86,0,0,0
2026-05-22T06:09:14Z,76,3,10,11,506,321,92,0,0,0
2026-05-22T06:11:14Z,76,4,10,11,521,347,69,0,0,0
2026-05-22T06:13:14Z,75,3,9,12,450,332,61,0,0,0
2026-05-22T06:15:14Z,76,4,11,23,589,428,79,1,0,0
2026-05-22T06:17:14Z,76,2,13,13,462,307,67,0,0,0
2026-05-22T06:19:14Z,75,4,8,10,470,320,64,0,0,0
2026-05-22T06:21:14Z,75,1,7,10,438,287,73,0,0,0
2026-05-22T06:23:14Z,75,4,10,12,531,339,91,0,0,0
2026-05-22T06:25:14Z,75,6,11,14,679,449,91,0,0,0
2026-05-22T06:27:14Z,75,5,11,12,586,401,78,0,0,0
